Al,Co,Cr,Cu,Fe,Hf,Mn,Mo,Nb,Ni,Si,Ta,Ti,V,W,Zr,Phase
14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,0.0,0.0,0.0,0.0,14.28571429,0.0,0.0,0.0,14.28571429,0.0,0.0,FCC+BCC
2.43902439,24.3902439,24.3902439,0.0,24.3902439,0.0,0.0,0.0,0.0,24.3902439,0.0,0.0,0.0,0.0,0.0,0.0,FCC
15.78947368,21.05263158,21.05263158,0.0,21.05263158,0.0,0.0,0.0,0.0,21.05263158,0.0,0.0,0.0,0.0,0.0,0.0,FCC+B2
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,FCC
16.66666667,0.0,16.66666667,16.66666667,16.66666667,0.0,16.66666667,0.0,0.0,16.66666667,0.0,0.0,0.0,0.0,0.0,0.0,BCC
0.0,16.66666667,16.66666667,0.0,16.66666667,0.0,16.66666667,0.0,0.0,16.66666667,0.0,0.0,0.0,0.0,0.0,0.0,FCC+BCC
0.0,16.66666667,16.66666667,16.66666667,16.66666667,0.0,16.66666667,0.0,0.0,16.66666667,0.0,0.0,0.0,0.0,0.0,0.0,FCC
0.0,22.22222222,22.22222222,11.11111111,22.22222222,0.0,0.0,0.0,0.0,22.22222222,0.0,0.0,0.0,0.0,0.0,0.0,FCC
33.33333333,0.0,0.0,33.33333333,0.0,0.0,0.0,0.0,0.0,33.33333333,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC 
25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
18.18181818,0.0,9.090909091,18.18181818,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,18.18181818,0.0,0.0,0.0,BCC+FCC
16.66666667,0.0,16.66666667,16.66666667,16.66666667,0.0,0.0,0.0,0.0,16.66666667,0.0,0.0,16.66666667,0.0,0.0,0.0,BCC+FCC
15.38461538,0.0,23.07692308,15.38461538,15.38461538,0.0,0.0,0.0,0.0,15.38461538,0.0,0.0,15.38461538,0.0,0.0,0.0,BCC+FCC
14.28571429,0.0,28.57142857,14.28571429,14.28571429,0.0,0.0,0.0,0.0,14.28571429,0.0,0.0,14.28571429,0.0,0.0,0.0,BCC+FCC
12.5,0.0,37.5,12.5,12.5,0.0,0.0,0.0,0.0,12.5,0.0,0.0,12.5,0.0,0.0,0.0,BCC+FCC
18.18181818,9.090909091,18.18181818,18.18181818,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
18.18181818,18.18181818,9.090909091,18.18181818,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
18.18181818,18.18181818,18.18181818,18.18181818,9.090909091,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
18.18181818,18.18181818,18.18181818,18.18181818,18.18181818,0.0,0.0,0.0,0.0,9.090909091,0.0,0.0,0.0,0.0,0.0,0.0,BCC+FCC
18.18181818,18.18181818,18.18181818,9.090909091,18.18181818,0.0,0.0,0.0,0.0,18.18181818,0.0,0.0,0.0,0.0,0.0,0.0,BCC
11.1,11.1125,11.1125,11.1125,11.1125,0.0,11.1125,0.0,0.0,11.1125,0.0,0.0,11.1125,11.1125,0.0,0.0,BCC+FCC
20.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,BCC
14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,0.0,0.0,0.0,0.0,14.28571429,0.0,0.0,14.28571429,0.0,0.0,0.0,BCC1+BCC2+FCC
14.28571429,14.28571429,14.28571429,14.28571429,14.28571429,0.0,0.0,0.0,0.0,14.28571429,0.0,0.0,0.0,14.28571429,0.0,0.0,BCC+FCC
16.66666667,25.0,16.66666667,0.0,16.66666667,0.0,0.0,0.0,0.0,16.66666667,0.0,0.0,8.333333333,0.0,0.0,0.0,BCC+FCC
15.38461538,30.76923077,15.38461538,0.0,15.38461538,0.0,0.0,0.0,0.0,15.38461538,0.0,0.0,7.692307692,0.0,0.0,0.0,BCC+FCC
13.33333333,40.0,13.33333333,0.0,13.33333333,0.0,0.0,0.0,0.0,13.33333333,0.0,0.0,6.666666667,0.0,0.0,0.0,BCC+FCC
19.04761905,19.04761905,19.04761905,4.761904762,19.04761905,0.0,0.0,0.0,0.0,19.04761905,0.0,0.0,0.0,0.0,0.0,0.0,BCC
0.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,FCC
5.0,20.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,FCC
